,Rank,Rating,Title,Review
0,1,98%,Parasite (Gisaengchung) (2019),456
1,2,94%,Avengers: Endgame (2019),533
2,3,97%,Knives Out (2019),459
3,4,93%,Us (2019),540
4,5,97%,Toy Story 4 (2019),447
5,6,95%,The Irishman (2019),445
6,7,95%,Little Women (2019),414
7,8,98%,The Farewell (2019),335
8,9,96%,Booksmart (2019),365
9,10,95%,A Beautiful Day in the Neighborhood (2019),366
10,11,94%,Marriage Story (2019),385
11,12,91%,Spider-Man: Far From Home (2019),445
12,13,95%,If Beale Street Could Talk (2019),353
13,14,85%,Once Upon a Time In Hollywood (2019),559
14,15,97%,Pain and Glory (Dolor y gloria) (2019),292
15,16,90%,Shazam! (2019),407
16,17,92%,Ford v Ferrari (2019),343
17,18,90%,The Lighthouse (2019),379
18,19,97%,Dolemite Is My Name (2019),228
19,20,92%,Uncut Gems (2019),335
20,21,99%,Apollo 11 (2019),183
21,22,89%,Rocketman (2019),378
22,23,99%,Amazing Grace (2019),157
23,24,99%,Ash Is Purest White (2019),152
24,25,99%,They Shall Not Grow Old (2019),150
25,26,100%,Honeyland (2019),123
26,27,89%,John Wick: Chapter 3 - Parabellum (2019),345
27,28,95%,The Peanut Butter Falcon (2019),213
28,29,94%,Honey Boy (2019),230
29,30,100%,One Cut of the Dead (Kamera o tomeru na!) (2019),87
30,31,99%,Knock Down the House (2019),103
31,32,96%,Birds of Passage (Pájaros de verano) (2019),167
32,33,79%,Captain Marvel (2019),528
33,34,99%,For Sama (2019),97
34,35,98%,Maiden (2019),117
35,36,96%,Atlantics (2019),152
36,37,92%,Fighting with My Family (2019),238
37,38,87%,Hustlers (2019),342
38,39,98%,One Child Nation (2019),100
39,40,98%,3 Faces (2019),97
40,41,97%,Woman at War (Kona fer í stríð) (2019),117
41,42,100%,Chained for Life (2019),51
42,43,90%,How to Train Your Dragon: The Hidden World (2019),265
43,44,97%,First Love (Hatsukoi) (2019),115
44,45,99%,The Chambermaid (La camarista) (2019),70
45,46,94%,Transit (2019),177
46,47,97%,Tigers Are Not Afraid (Vuelven) (2019),112
47,48,92%,Stan & Ollie (2019),219
48,49,100%,Midnight Traveler (2019),46
49,50,88%,Ready or Not (2019),303
50,51,100%,Mickey and the Bear (2019),45
51,52,98%,Deadwood: The Movie (2019),87
52,53,96%,Hail Satan? (2019),129
53,54,98%,Varda by Agnès (2019),86
54,55,100%,"Scream, Queen! My Nightmare on Elm Street (2019)",41
55,56,100%,White Riot (2019),40
56,57,98%,The Heiresses (Las Herederas) (2019),80
57,58,97%,Toni Morrison: The Pieces I Am (2019),99
58,59,92%,The Last Black Man in San Francisco (2019),205
59,60,83%,Midsommar (2019),390
60,61,95%,The Mustang (2019),132
61,62,92%,Wild Rose (2019),191
62,63,89%,Blinded by the Light (2019),254
63,64,94%,Bad Education (2019),145
64,65,83%,Ad Astra (2019),378
65,66,98%,63 Up (2019),56
66,67,98%,Homecoming: A Film by Beyoncé (2019),55
67,68,98%,Too Late to Die Young (Tarde para morir joven) (2019),55
68,69,96%,By the Grace of God (Grâce à Dieu) (2019),96
69,70,90%,Dark Waters (2019),223
70,71,91%,Gloria Bell (2019),201
71,72,97%,Midnight Family (2019),72
72,73,98%,Buñuel in the Labyrinth of the Turtles (Buñuel en el laberinto de las tortugas) (2019),49
73,74,96%,American Factory (2019),90
74,75,98%,Fiddler: A Miracle of Miracles (2019),44
75,76,97%,Making Waves: The Art of Cinematic Sound (2019),65
76,77,98%,Working Woman (2019),43
77,78,98%,Dirty God (2019),41
78,79,97%,The Cave (2019),62
79,80,97%,The Kingmaker (2019),62
80,81,97%,"Love, Antosha (2019)",61
81,82,96%,I Lost My Body (2019),82
82,83,97%,Harpoon (2019),59
83,84,80%,Jojo Rabbit (2019),418
84,85,95%,Little Woods (2019),96
85,86,89%,The Two Popes (2019),221
86,87,92%,In Fabric (2019),156
87,88,95%,Mike Wallace Is Here (2019),91
88,89,96%,Ray & Liz (2019),69
89,90,95%,Be Natural: The Untold Story of Alice Guy-Blaché (2019),86
90,91,92%,Monos (2019),150
91,92,92%,Clemency (2019),148
92,93,94%,Shadow (2019),102
93,94,96%,Rojo (2019),53
94,95,96%,An Elephant Sitting Still (Da xiang xi di er zuo) (2019),49
95,96,95%,Citizen K (2019),59
96,97,94%,The Wild Pear Tree (Ahlat agaci) (2019),80
97,98,89%,The Kid Who Would Be King (2019),187
98,99,84%,The LEGO Movie 2: The Second Part (2019),295
99,100,95%,Raise Hell: The Life & Times of Molly Ivins (2019),58
